verb,lang,cell_id,zipf,tier,irregular_probed,in_census,probed_tense,probed_person,probed_number,gold_past_1sg,gold_past_1sg_alts,gold_participle,gold_participle_alts,ending,seed,experiment
abstraer,es,mid_irregular,3.582,mid,yes,yes,preterite,1st,singular,abstraje,,abstracto,,er,42,diagnostic_1
acontecer,es,mid_irregular,2.970,mid,yes,yes,preterite,1st,singular,aconteaché,,aconteachado,,er,42,diagnostic_1
ahorcar,es,mid_irregular,3.432,mid,yes,yes,preterite,1st,singular,ahorqué,,ahorcado,,ar,42,diagnostic_1
armonizar,es,mid_irregular,3.201,mid,yes,yes,preterite,1st,singular,armonicé,,armonizado,,ar,42,diagnostic_1
automatizar,es,mid_irregular,3.418,mid,yes,yes,preterite,1st,singular,automaticé,,automatizado,,ar,42,diagnostic_1
clarificar,es,mid_irregular,3.219,mid,yes,yes,preterite,1st,singular,clarifiqué,,clarificado,,ar,42,diagnostic_1
desarraigar,es,mid_irregular,2.877,mid,yes,yes,preterite,1st,singular,desarraigué,,desarraigado,,ar,42,diagnostic_1
halagar,es,mid_irregular,3.438,mid,yes,yes,preterite,1st,singular,halagué,,halagado,,ar,42,diagnostic_1
hostigar,es,mid_irregular,2.998,mid,yes,yes,preterite,1st,singular,hostigué,,hostigado,,ar,42,diagnostic_1
independizar,es,mid_irregular,3.050,mid,yes,yes,preterite,1st,singular,independicé,,independizado,,ar,42,diagnostic_1
nacionalizar,es,mid_irregular,3.218,mid,yes,yes,preterite,1st,singular,nacionalicé,,nacionalizado,,ar,42,diagnostic_1
oficializar,es,mid_irregular,2.874,mid,yes,yes,preterite,1st,singular,oficialicé,,oficializado,,ar,42,diagnostic_1
pacificar,es,mid_irregular,3.625,mid,yes,yes,preterite,1st,singular,pacifiqué,,pacificado,,ar,42,diagnostic_1
politizar,es,mid_irregular,3.162,mid,yes,yes,preterite,1st,singular,politicé,,politizado,,ar,42,diagnostic_1
posponer,es,mid_irregular,3.566,mid,yes,yes,preterite,1st,singular,pospuse,,pospuesto,,er,42,diagnostic_1
recalcar,es,mid_irregular,3.524,mid,yes,yes,preterite,1st,singular,recalqué,,recalcado,,ar,42,diagnostic_1
relanzar,es,mid_irregular,2.936,mid,yes,yes,preterite,1st,singular,relancé,,relanzado,,ar,42,diagnostic_1
relegar,es,mid_irregular,3.324,mid,yes,yes,preterite,1st,singular,relegué,,relegado,,ar,42,diagnostic_1
responsabilizar,es,mid_irregular,3.357,mid,yes,yes,preterite,1st,singular,responsabilicé,,responsabilizado,,ar,42,diagnostic_1
segar,es,mid_irregular,2.915,mid,yes,yes,preterite,1st,singular,segué,,segado,,ar,42,diagnostic_1
sobrecargar,es,mid_irregular,3.541,mid,yes,yes,preterite,1st,singular,sobrecargué,,sobrecargado,,ar,42,diagnostic_1
surcar,es,mid_irregular,3.471,mid,yes,yes,preterite,1st,singular,surqué,,surcado,,ar,42,diagnostic_1
traficar,es,mid_irregular,3.652,mid,yes,yes,preterite,1st,singular,trafiqué,,traficado,,ar,42,diagnostic_1
trancar,es,mid_irregular,3.323,mid,yes,yes,preterite,1st,singular,tranqué,,trancado,,ar,42,diagnostic_1
visualizar,es,mid_irregular,3.716,mid,yes,yes,preterite,1st,singular,visualicé,,visualizado,,ar,42,diagnostic_1
adolecer,es,mid_regular,2.860,mid,no,yes,preterite,1st,singular,adolecí,,adolecido,,er,42,diagnostic_1
aguardar,es,mid_regular,3.620,mid,no,yes,preterite,1st,singular,aguardé,,aguardado,,ar,42,diagnostic_1
apestar,es,mid_regular,3.653,mid,no,yes,preterite,1st,singular,apesté,,apestado,,ar,42,diagnostic_1
corroer,es,mid_regular,2.878,mid,no,yes,preterite,1st,singular,corroí,,corroído,,er,42,diagnostic_1
culminar,es,mid_regular,3.798,mid,no,yes,preterite,1st,singular,culminé,,culminado,,ar,42,diagnostic_1
desacreditar,es,mid_regular,3.487,mid,no,yes,preterite,1st,singular,desacredité,,desacreditado,,ar,42,diagnostic_1
desvanecer,es,mid_regular,3.537,mid,no,yes,preterite,1st,singular,desvanecí,,desvanecido,,er,42,diagnostic_1
disuadir,es,mid_regular,3.157,mid,no,yes,preterite,1st,singular,disuadí,,disuadido,,ir,42,diagnostic_1
emerger,es,mid_regular,3.772,mid,no,yes,preterite,1st,singular,emergí,,emergido,,er,42,diagnostic_1
erigir,es,mid_regular,3.623,mid,no,yes,preterite,1st,singular,erigí,,erigido,,ir,42,diagnostic_1
esclarecer,es,mid_regular,3.427,mid,no,yes,preterite,1st,singular,esclarecí,,esclarecido,,er,42,diagnostic_1
estirar,es,mid_regular,3.767,mid,no,yes,preterite,1st,singular,estiré,,estirado,,ar,42,diagnostic_1
galopar,es,mid_regular,2.866,mid,no,yes,preterite,1st,singular,galopé,,galopado,,ar,42,diagnostic_1
lamer,es,mid_regular,3.631,mid,no,yes,preterite,1st,singular,lamí,,lamido,,er,42,diagnostic_1
perpetrar,es,mid_regular,3.398,mid,no,yes,preterite,1st,singular,perpetré,,perpetrado,,ar,42,diagnostic_1
postrar,es,mid_regular,2.862,mid,no,yes,preterite,1st,singular,postré,,postrado,,ar,42,diagnostic_1
proscribir,es,mid_regular,2.884,mid,no,yes,preterite,1st,singular,proscribí,,proscrito,,ir,42,diagnostic_1
rebatir,es,mid_regular,3.119,mid,no,yes,preterite,1st,singular,rebatí,,rebatido,,ir,42,diagnostic_1
redimir,es,mid_regular,3.004,mid,no,yes,preterite,1st,singular,redimí,,redimido,,ir,42,diagnostic_1
resurgir,es,mid_regular,3.338,mid,no,yes,preterite,1st,singular,resurgí,,resurgido,,ir,42,diagnostic_1
retransmitir,es,mid_regular,3.127,mid,no,yes,preterite,1st,singular,retransmití,,retransmitido,,ir,42,diagnostic_1
roer,es,mid_regular,3.393,mid,no,yes,preterite,1st,singular,roí,,roído,,er,42,diagnostic_1
rugir,es,mid_regular,3.432,mid,no,yes,preterite,1st,singular,rugí,,rugido,,ir,42,diagnostic_1
suplantar,es,mid_regular,3.079,mid,no,yes,preterite,1st,singular,suplanté,,suplantado,,ar,42,diagnostic_1
verter,es,mid_regular,3.766,mid,no,yes,preterite,1st,singular,vertí,,vertido,,er,42,diagnostic_1
